Products,Health & Beauty,Electronics,Books,Groceries,Home & Kitchen
GM Panama Hat Cricket Hat Size-Large(White),0.1,0.3,0.05,0.1,0.45
SALDAL,0.15,0.25,0.1,0.45,0.05
Onbeat Men's Leather White Formal Shoes,0.2,0.3,0.2,0.1,0.2
HELISHA Women's & Girls Silicone Padded Adhesive Wire Free Stick-On Silicone Push Up Free-Bra(Free-Size) (Pack-of-1),0.8,0.1,0.05,0.02,0.03
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Ga...",0.05,0.9,0.01,0.02,0.02
Amway Dish Drop STM Concentrated Dishwashing Liquid - 1 L,0.03,0.01,0.01,0.8,0.15
Bajaj Calenta Digi Storage 15-Litre Vertical 5 Star Water Heater (Brown/ White),0,0.1,0,0,0.9
"Mamaearth 100 Percent Natural Berry Blast Kids Toothpaste, 50gand Easy Tummy Roll On for Digestion & Colic Relief with Hin...",0.9,0.01,0.01,0.05,0.03
DISHIS 14k BIS Hallmark Two Colour Gold and Solitaire Diamond Mangalsutra for Women,0.05,0.1,0.05,0.1,0.7
Wrangler Men's Millard Blue Jeans (Straight),0.05,0.1,0.05,0.15,0.65
"SWAPKART Gorilla Tripod/Mini Tripod 13 inch for Mobile Phone with Holder for Mobile, Flexible Gorilla Stand for DSLR & Act...",0.01,0.95,0.005,0.005,0.03
HAP Kings Modern Printed Gym Vest/Sports Vest/Casualwear/Rib Vest,0.3,0.15,0.05,0.1,0.4
"AKTIVEMUSLI Tummy Trimmer Toning Tube Resistance Band Rope Stretching Tubes for Men and Women Fitness Equipment, Abdominal...",0.8,0.02,0.05,0.03,0.1
Peora Ethnic Indian Traditional Gold Plated Kundan Dulhan Bridal Jewellery Set with Choker Earrings Maang Tikka Hathphool ...,0.1,0.05,0.05,0.1,0.7
SELLORIA Dial Multi-Functional White Transparent Strap Waterproof Automatic Watch With White Color Led Band Digital Combo ...,0,0.9,0,0,0.1
Sanjis Enterprise Combo Of Cartoon Crossbody Hand Purse for Girls Kids Toddler Mini Cute Handbags Shoulder Messenger Phone...,0.2,0.1,0.1,0.2,0.4
Zoom Shoes Mens A-1136 Loafer,0.1,0.15,0.2,0.25,0.3
"TRASA Women's Skinny Fit Trackpants - Sizes:- L, XL, 2XL, 3XL",0.2,0.05,0.05,0.1,0.6
Intimantic Men Body Hugging Stringy Brief 95% Cotton 5% Spandex,0.8,0.1,0.05,0.03,0.02
"(Renewed) Samsung Galaxy Buds2 Pro, Bluetooth Truly Wireless in Ear Earbuds with Noise Cancellation (Graphite)",0.03,0.95,0.005,0.005,0.01
CP PLUS 4MP Outdoor Smart Wi-fi PT Camera | 360° with Pan & Tilt | Two Way Talk | Night Vision| SD Card (Up to 128 GB) | A...,0,0.9,0,0,0.1
PC Jeweller The Olanma 18KT Yellow Gold and Diamond Ring for Women,0.1,0.05,0.025,0.025,0.8
GIABELLA Men's Wool Cap (Eagle Cap-Navy Blue_Navy_Free Size),0.1,0.05,0.05,0.1,0.7
Zeya Yellow Gold Relish Heart Pendant Pendant for Women,0.15,0.3,0.1,0.25,0.2
Generic 1500W water proof Immersion Water Heater Rod(Multicolor),0.02,0.15,0.01,0.02,0.8
belanci Cotton Linen Full Sleeve Slim Fit Shirts | Formal Shirts for Men,0.1,0.03,0.02,0.05,0.8
Arrow New York Men's Regular Fit T Shirt (ANADOTS3736_Off White_L),0.05,0.1,0.15,0.7,0.2
University Trendz I Love You 100 Language Rose Gold Crown Ring with Artificial Red Rose & Soft Teddy Bear with Flower Box ...,0.25,0.05,0.05,0.05,0.6
"ORKA TRAVEL Solid Luggage Protector Luggage Cover (Medium, Grey)",0.05,0.02,0.01,0.02,0.9
"Smart Pro Prime EN-EL12 Battery Charger for Nikon COOLPIX A900, AW120, AW120s, AW130, AW130s, P340, S9700, S9700s, S9900, ...",0.004,0.95,0.002,0.008,0.04
Puma Unisex-Adult City Rider Sneaker,0.1,0.05,0.2,0.15,0.5
"Women's Soft Pure Cotton All Over Print Nightwear / Maxi / Sleepwear Nighty with Pcoket Brown , Red and Black Colours Larg...",0.1,0.03,0.02,0.05,0.8
"Volein Blaze Orange Camo Hunting Vest,Lightweight,Zipper Closure",0.03,0.03,0.05,0.04,0.85
Vaibhav Jewellers 18k (750) Yellow Gold and American Diamond Stud Earrings for Women,0.05,0.02,0.03,0.05,0.85
Wrangler Men T-Shirt,0.03,0.02,0.05,0.1,0.8
PC Jeweller The Infinity 18KT Yellow Gold and Diamond Ring for Women,0.05,0.7,0.1,0.05,0.1
Sullery Religious Quran Islamic Allah Muslim Islamic Jewelry Arabic Aayat Al Kursi Prayer Ramadan Gift Silver Stainless St...,0.05,0.01,0.9,0.01,0.03
Titan Viva Analog Rose Gold Dial Women's Watch-2622KM01 / 2622KM01/NP2622KM01,0.05,0.7,0.1,0.03,0.12
AONES Ocean Silicone Watch Strap Compatible for Amazfit Bip S Smart Watch Band Light Green,0.05,0.9,0.01,0.02,0.02
"NOVEX Disney 22 Inch Original Princess Hard Sided Polycarbonate Kids Trolley Bag for Travel (Turquoise - 22"") / Kids Troll...",0.02,0.05,0.03,0.1,0.8
Aswadh Mens Wallet Cowhide Leather Wallet Credit Card Holder RFID Bifold Coffee,0.05,0.1,0.03,0.02,0.8
The Souled Store Men Official Excuse Me Brother Black Printed T-Shirts,0.05,0.15,0.1,0.05,0.65
AONES Ocean Silicone Watch Strap Compatible for Goqii Smart Vital Max Smart Watch Band,0.2,0.75,0,0,0.05
Xs and Os Women's Polyester Spandex Mix Solid Midi Babydoll Lingerie,0.85,0.02,0.03,0.05,0.05
Men's Slim Fit Thermal Inner (ThermalDaskTop1_Black_X-Large),0.05,0.65,0.1,0.05,0.15
KingMatters Microwave Oven Cover for Samsung 28 Litre Convection Microwave Oven MC28H5025VB/TL KM21,0.01,0.8,0.01,0.03,0.15
"Sanaa's Terracotta Jewellery Handmade Terracotta stud,SS-18",0.85,0.05,0.02,0.03,0.05
"Fabme Women's Hosiery Cotton, Nursing, Feeding, Maternity Nighty - Zip Opening at Bust - Before and After Baby Multipurpos...",0.75,0.05,0.1,0.03,0.07
PSG Paris Neymar Jersey with Shorts(Boys & Mens) - Football,0.2,0.05,0.02,0.03,0.7
Satya Paul Blue Faux Leather D Shoulder Women Hand Bag,0.1,0.05,0.1,0.05,0.7
"Electric Scooter Bag, Durable Multi Purpose Portable Scooter Storage Bag Easy Access Double Zipper for Electric Scooters",0.01,0.08,0.01,0.005,0.9
C J Enterprise Women's Pure Kanchipuram Silk Sarees For Wedding With Blouse Piece (meenawave paithani),0.1,0.03,0.02,0.05,0.8
World Shopper hdmi to vga Adapter Audio Cable (Black),0.005,0.95,0.005,0.01,0.03
Monique Women's Maxi Dress,0.02,0.01,0.02,0.05,0.9
PC Jeweller 18k (750) Two Colour Gold and Solitaire Ring for Women,0.05,0.02,0.02,0.01,0.9
"Men's Slim Fit Denim Mid Rise Stretchable Jeans (Blue, 42)-PID42898",0.05,0.05,0.25,0.1,0.55
"AONES Pack of 3 Magnetic Loop Watch Strap Compatible for Foxin Foxfit Amaze Pro Watch Strap Gold, Rose Gold, Silver",0.05,0.85,0.03,0.02,0.05
DronaIndia Tambourine Hand Percussion Musical Instrument,0.02,0.03,0.03,0.02,0.9
Bourge Mens Loire-z146 Running Shoes,0.15,0.25,0.2,0.1,0.3
"SWIGGY Casual Shoes for Men Waliking,Sneakers,Loafers,Canvas Casual Shoes for Men Blue",0.2,0.3,0.1,0.4,0
Moonshine Fashion Women's Hosiery Cotton Nighty/Night Dress/Gown in Maternity Wear Printed Maxi Sleepwear Super Soft & Com...,0.8,0.05,0.03,0.02,0.1
helix Analog Purple Dial Women's Watch-TW036HL06,0.15,0.5,0.1,0.05,0.2
Metro Men Leather Flat Shoes (19-5547),0.05,0.1,0.05,0.2,0.6
Creations Garg Men PVC Sole Casual Shoes Lastest (Yellow)-SUPER-09 Yellow_P,0.1,0.3,0.05,0.45,0.1
Generic Products Hanture Golden Small Metal Photo Picture Frame Hook Hanger Triangle Ring Single Hole with Screws (P_10) -...,0.05,0.02,0.01,0.02,0.9
FotoCart 128 Pockets Mini Film Photo Album PU Leather Cover for Fujifilm Instax Mini LiPlay 11 9 8 7s 70 90 Link Instant C...,0.03,0.85,0.01,0.01,0.1
Kara Multipurpose Edward Black Portable Toiletry Kits - Genuine Leather Unisex Pouch for Travelling - Shaving Kit or Makeu...,0.8,0.1,0.05,0.02,0.03
SOUTH SAILOR Mens 100% Cotton White Broad Shoulder Vest Innerwear Pack of 2,0.05,0.02,0.01,0.4,0.52
STAR SHINE Women Viscose Hipster Multicolor Panty (Pack of 5),0.8,0.1,0.05,0.02,0.03
Red Tape Mens RSC063 Black Walking Shoe - 10 UK (RSC0631D),0.15,0.05,0.02,0.01,0.77
"SToK 2.6 Liters 1350W Air Fryer With Smart Rapid Air Technology & Double Layer Grill, White",0,0.1,0,0,0.9
Leather Police Shoes for Men,0.1,0.15,0.05,0.7,0.05
Amazon Brand - Myx Women's Cotton Regular Kurti,0.15,0.05,0.1,0.03,0.67
Park Avenue Dark Blue Jeans,0.1,0.2,0.3,0.2,0.2
Sukkhi Glamorous Peacock Gold Plated Australian Diamond Earrings for Women,0.1,0.7,0.05,0.05,0.1
Men?s Classic Regular Fit Denim Jeans Mid-Rise Stretchable Comfort Fit for Everyday Wear Size 30 Color Ice Blue,0.1,0.05,0.05,0.2,0.6
Girl's A-Line Floral Knee Length Short Frock Dress Baby Girl�s Tutu Style Flared Party Midi Dress/Frock,0.1,0.15,0.05,0.7,0
"Laprite, Cartoon 3D Design Protective Case for 18W 20W iPhone 14 13 12 11 Pro Max Fast Charging Cable Adapter Charger, Cut...",0.03,0.8,0.02,0.05,0.1
"Purple Valley Unisex Cotton Printed Bandana/Head Wrap/Wristband/Face Cover/Handkerchief for Men and Women, 20 * 20cm(Whit...",0.2,0.05,0.05,0.1,0.6
U.S. POLO ASSN. Men's Cotton Classic Trunks (Pack of 2),0.05,0.75,0.05,0.1,0.05
"PIXEL HOME Cotton Multi-Purpose Superior Kitchen Cleaning Towel, Multicolour, Red & White, Pack of 6 Red(Pack of 320.), 25...",0.05,0.03,0.02,0.1,0.8
CAI Women's Zari Adorned in knots Heel Fashion,0.1,0.03,0.05,0.02,0.8
Fabrilize Women's Rayon Block Printed Regular Tunic Top Tees for Girls|Womens|Casual Wear Trendy,0.6,0.05,0.1,0.15,0.1
"Tobo 8K HDMI 2.1 Cable 2M, Certified 48Gbps Ultra High Speed HDMI Cable 4K 120Hz 8K 60Hz 10K eARC HDCP 2.2&2.3 Dynamic HDR...",0.005,0.95,0.01,0.005,0.03
Metro Men Sneaker (71-8631),0.15,0.2,0.1,0.25,0.3
The Clownfish Unisex Backpack for Laptop 15.6 inch Bag (Grey with Khaki),0.01,0.85,0.03,0.01,0.1
Vardha Women's Kanchipuram Art Silk Saree with Unstitched Blouse Piece - Zari Woven Work Sarees for Wedding,0.1,0.03,0.02,0.05,0.8
"FREDI HD PLUS Wired 1080p 5MP, 90° Viewing Area, A3 Body Camera Portable Device with Long Working, Motion Activated, Indoo...",0.05,0.8,0.02,0.03,0.1
U.S. POLO ASSN. Men's Regular Casual Shirt,0.1,0.05,0.05,0.7,0.1
LA GLARE Sling Bag for Women | Stylish Latest Cross Body Trending Handbag,0.2,0.1,0.15,0.25,0.3
DISHIS 18k (750) White Gold Designer Mangalsutra for Women,0.1,0.05,0.02,0.03,0.8
PERRIAN 18k (750) Yellow Gold and Diamond Nose Pin for Girls this Screw nose pin for pierced nose Wearable on Daily Use Ba...,0.8,0.02,0.02,0.01,0.15
Zuperb Lingerie Women's Cotton Non Padded Non-Wired T-Shirt Bra,0.8,0.05,0.02,0.01,0.12
INDIAN THREADS Men's Regular Fit Solid/Plain Formal Giza Cotton Shirt for Men Formal Shirts for Mens Slim Fit Formal Shirt...,0.03,0.05,0.02,0.1,0.8
Mica Band Nozzle Heater 50Dx50Lx235W with thermocouple hole,0.05,0.7,0.03,0.02,0.2
Yellow Chimes Rings for Men Stainless Steel Ring Dual Tone Smooth Finish Stainless Steel Band Ring for Men and Boys.,0.2,0.1,0.05,0.05,0.6
"Orient CD6501H Desert Air Cooler - 65 Litres, Black",0.02,0.1,0.03,0.05,0.8
Lavie Women's Glossy Fallon Satchel (Black),0.1,0.2,0.05,0.1,0.55
Yellow Chimes Rings for Women A5 Grade Purple Crystal Ring Desire 18K Platinum Plated Ring for Women and Girls.,0.85,0.03,0.02,0.05,0.05
SIGHTBOMB Ribbed Button UP V Neck Spaghetti Tops for Women,0.1,0.05,0.02,0.03,0.8
U.S. POLO ASSN. Men's Regular fit T-Shirt,0.05,0.03,0.02,0.2,0.7
SAIJARA Men's Black & Brown Lace-up Synthetic Leather Formal Shoes,0.25,0.2,0.1,0.05,0.4
Arts on Way Silver Plated Chain with Beautiful Large Single Heart Shape Pink American Diamond (Cubic Zirconia) Stone Penda...,0.2,0.1,0.05,0.15,0.5
"ZORBES® - Micro SD TF to SD Card Kit Mini Adaptor for Extra Storage MacBook Air/Pro/Retina, XPS 13, Raspberry Pi",0.01,0.9,0.01,0.03,0.05
AVSAR 14KT Yellow Gold Pendant for Women,0.15,0.3,0.05,0.1,0.4
T-shirt Truck Developer Tshirts Printed T-Shirt for Men & Women | Complete The Statement | Debug Programmer Tshirts | Codi...,0.01,0.03,0.6,0.01,0.35
"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-D201ABQD, Blue Quartz, Base stand with drawer & Fast Ice Making, ...",0,0.9,0,0,0.1
"Daikin 1.5 Ton Inverter Split Ac 3 Star (Copper,FTKY/RKY-50UV16V3A,White)",0,0.9,0.01,0.01,0.08
Shreeji Apparells Women's Denim Regular Fit Jeans with Pocket (Green) Size:-32,0.05,0.02,0.03,0.6,0.3
RATED R COUTURE Classic Full Sleeves Oversized Knot Shirt (Green/Yellow),0.1,0.03,0.02,0.05,0.8
FallSweet No Show High Waist Briefs Underwear for Women Seamless Panties Multi Pack,0.9,0.05,0.01,0.02,0.02
Triumph International Women's Modern Sports Bra,0.8,0.1,0.05,0.02,0.03
"Ceiling Fan Suitable For Kitchen,Balcony,Small Room- 600 mm 24 Inch (Brown)",0,0,0,0,1
FabSeasons Cotton Skull Cap,0.2,0.1,0.1,0.3,0.3
"CP PLUS Infrared 1080p HD/SD 2.4MP Security Camera, White",0.02,0.8,0.01,0.02,0.15
A2ZSHOP In-Ear Headphones Earphones Compatible for Samsung Galaxy J8 Earphone Wired Stereo Deep Bass Head Hands-free Heads...,0.02,0.9,0.02,0.01,0.05
GoSriKi Women's Cotton Blend Regular Kurta,0.1,0.1,0.1,0.2,0.5
"VIKCLIQUE Martial Arts Bruce Lee Cotton Blend Printed Half Sleeve Round Neck Black, Navy Blue T-Shirt for Men's/Boy's",0.1,0.05,0.2,0.15,0.5
UJEAVETTE Starting Clamp Stringing Tool for Tennis and Badminton Racket Racquet Green,0.05,0.7,0.05,0.1,0.1
Puma Men's Walleri Cross-Training Shoe,0.1,0.3,0.15,0.05,0.4
Eryue MTB Mountain Bike Shoes for Men Outdoor Cycling Riding Shoes,0.15,0.3,0.1,0.25,0.2
PC Jeweller The Jutka 18KT Yellow Gold and Solitaire Stud Earrings for Women,0.05,0.1,0.02,0.03,0.8
Aarohi Jewells Silver Plated Shimmering Solitaire Crystal Square Shape Cufflink for Men & Boys ACFLSL10-006,0.1,0.05,0.1,0.05,0.7
CREYENTES® Devsatya Rudraksha Wrist Mala/Bracelet (Pack of 2) Stretchable Bracelet l 5 (Paanch) Mukhi / 5 Face Bracelet fo...,0.85,0.02,0.03,0.01,0.09
SHERRIF Women's Stiletto Heels Mules,0.15,0.03,0.02,0.05,0.75
WBD Platinum Series Plastic Windproof Jet Flame Gun Thrower Barbeque Torch Lighter with Stand,0.1,0.8,0.05,0.02,0.03
VASTRAMANIAA Women Rayon Bandhani Print Anarkali Kurta,0.15,0.05,0.05,0.1,0.65
Puma Men's Lazer Evo IDP Sneakers,0.15,0.65,0.05,0.1,0.05
UGU Spy Cameras Sq11 Mini Portable Small Size Full HD 1080p Video and Audio Recording Camera Features Motion Detection Pho...,0,0.9,0,0,0.1
RG Summer Daily Night Wear Cotton Round Neck Printed Half Sleeve Top& Bottom For Women's (NS-04),0.1,0.025,0.05,0.025,0.8
Escora Women's Self Design Silk Blend Dupatta,0.1,0.2,0.3,0.2,0.2
S H Jewels Pure Silver Trishul Damroo Kada For Men & Boys 34.5 Grams,0.08,0.02,0.02,0.03,0.85
Releep Fashion Cotton Shirts for Men,0.3,0.05,0.02,0.03,0.6
Puma Mens Mega Nrgy Heather Knit Running Shoe,0.1,0.7,0.05,0.05,0.1
"Bewakoof Men's Mickey 100% Cotton T-Shirt - Regular Fit, Round Neck, Half Sleeves",0.05,0.1,0.02,0.03,0.8
Puma Men's Skim Idp Sandal,0.05,0.2,0.05,0.1,0.6
CRESTELLO CR214 Stainless Steel Chain Analog Wrist Watch for Women,0.03,0.1,0.05,0.02,0.8
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Steam (SENORITA SXS 6510, Silver & Black, In-built Heater, 4 years C...",0.005,0.95,0.002,0.008,0.04
KITTENS Boy's Outdoor Sandals,0.05,0.1,0.15,0.7,0
Sunshades Keychain Holder Nose Reading Glasses +1.00 +1.50 +2.00 +2.50 +3.00 Reading Eyeglasses19,0.2,0.6,0.05,0.05,0.1
"LG 205 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D221ASCU, Scarlet Charm, Base stand with drawer)",0.005,0.08,0.005,0.01,0.9
GNIST Peach Chunky High Block Heel (39EU),0.1,0.05,0.03,0.02,0.8
Hush Puppies Men's Premium Leather Formal Lace Up Shoes,0.01,0.03,0.05,0.01,0.9
IIK COLLECTION Round Roman Dial Metal Studded Bracelet Chain Strap Analogue Wrist Watch for Women and Girls,0.05,0.03,0.01,0.01,0.9
Shivarth Hair Gajra in Artificial Mogra Flower White Colour Tiara for Women and Girls 9 Inch,0.9,0.02,0.01,0.02,0.05
Qingyuan Outdoor Sports Running So s Stretch So s Athletic Football Soccer So s Anti Slip So s with Grips,0.2,0.1,0.1,0.3,0.3
Naruto Sasuke Uchiha Mangekyou Red Eye of Sharingan Rotating Spinning Metal Keychain | Naruto Headband Logo Leaf Village S...,0.2,0.2,0.3,0.1,0.2
s7 Green Digital,0.1,0.75,0.05,0.05,0.05
"Brownfolds DIY Craft Animals White Paper Polygon Geometry Deer Wall Trophy with Pre-Cut and Scored Paper Templates (White,...",0.05,0.01,0.02,0.02,0.9
Vanguard Tripod Alta Pro 263 AB100 I Tripod for Professional Camera I Aluminum Material I 7 Kg Load Capacity I 5.65 Feet M...,0.005,0.95,0.005,0.01,0.03
Dish TV Setup Box Remote,0.005,0.95,0.005,0.01,0.03
"AONES Pack of 2 Silicone & Metal Chain Belt Watch Strap Compatible for Gionee Stylfit Gsw6 Watch Band White, Silver",0.05,0.8,0.03,0.02,0.1
Rodamo Slim Fit Cotton Shirts for Men Full Sleeve Shirt Men,0.1,0.05,0.05,0.1,0.7
"Ceptics Universal Travel Adapter for USA, Canada, Japan, Philippines India to US Plug Adapter - Type B USA Plug - CE Certi...",0,0.9,0,0,0.1
T.J.SAREES Women Handlooom Pure Tant Saree Of Bengal Cotton Without Blouse Pcs,0,0.8,0.1,0.05,0.05
DAVID DOLCHINO Pointed Derby Suede Leather for Men,0.05,0.1,0.2,0.1,0.55
EHOP R14/CE Remote Compatible for Carrier Ac,0,0.8,0,0,0.2
Jump Cuts Mens Printed Round Neck Sleeveless Navy and Yellow Cotton Blend Slim Fit Vest,0.1,0.2,0.05,0.15,0.5
"Bajaj Pluto 500W Mixer Grinder with 2 in 1 Function Blade, 3 Jars, White",0.005,0.03,0.005,0.01,0.95
Clovia Women's Cotton Non-Padded Wire Free Full Coverage Bra,0.8,0.1,0.05,0.02,0.03
"JUNEBERRY Women Tshirts Combo Pack, Half Sleeves Cotton Tshirts for Women Combo Pack, Printed T Shirts for Women Combo",0.05,0.1,0.05,0.7,0.1
HITFIT Shockproof Sleeve Case Pouch/ Bag for Samsung Galaxy Tab S7 (T870/T875) (11.0 inch) (Black Color ),0.03,0.8,0.02,0.05,0.1
Wildcraft RuNX Kane Running Shoes 51833,0.05,0.7,0.1,0.05,0.1
A2ZSHOP Wireless Neckband Compatible for OnePlus Nord 2 Bluetooth Headphone with Mic Noise Isolating Stereo Sweatproof Pro...,0.01,0.95,0.005,0.005,0.03
"PATPAT® Poke-mon Binder, Big Size Trading Cards Album for 720 Poke-mon Cards Cartoon Prints Zipper Bag Trading Card Binder...",0.2,0.1,0.05,0.1,0.55
"R for Rabbit Caramello Grand Diaper Bag for Mother, Waterproof Backpack for Mothers, Multifunctional Maternity Bag for Tra...",0.1,0.05,0.05,0.05,0.75
"Fambal Suitcase & Trolley Bag Cover with Zipper_Hard Luggage 27""_Suitable for 69cm Suitcase_Transparent",0.05,0.03,0.02,0.1,0.8
Mirako by Van Heusen Women's Regular Shirt,0.08,0.02,0.02,0.03,0.85
"Upix® AC Remote No. 68N with Backlight & Timer, Compatible for Hitachi AC Remote Control",0.005,0.95,0.005,0.01,0.03
JEEVAAN - THE PERFECT FASHION Men's Regular Fit Stylish Casual Shirt,0.1,0.03,0.02.,0.05,0.8
Naata Design Studio Women Aqua Blue Dress for Plus Size,0.05,0.1,0.05,0.05,0.75.
RICHSIGN LEATHER ACCESSORIES Expandable Full-Grain Natural Cro Leather Top-Handle satchel Tote Handbags & Shoulder Sling B...,0.1,0.05,0.05,0.2,0.6
U & I Ozone 40 Hours Music Time Wireless In Ear Neckband with Mic Bluetooth Headset,0.05,0.9,0.02,0.01,0.02
Sparx Men SM-322 Grey Mint Green Casual Shoes (SC0322G_GYGM_0010),0.05,0.15,0.1,0.2,0.5
Accessorize London Women's Silver Linked Circles Necklace,0.1,0.05,0.025,0.025,0.8
LANCER Mens Dragon Sports Shoes,0.1,0.7,0.05,0.05,0.1
"Quikprof Chest Strap and Head Strap Combo for Gopro Hero, SJCAM, Yi & Other Action Cameras",0.1,0.8,0.05,0.025,0.025
FORTIVA Smart Light Weight Casual Shoe for Men's & Boys (Pilot),0.05,0.8,0.03,0.02,0.1
"AGARO Classic Portable Yogurt Maker, 1.2L Capacity, Electric, Automatic, Grey and White, Medium (33603)",0.01,0.15,0.01,0.03,0.8
ENDFASHION Women's Rayon Hand Block Gold Printed Palazzo || Palazzo || Skirt Palazzo || Rayon Palazzo || HANDBLOCK Palazzo...,0.3,0.1,0.05,0.2,0.35
RE CO SYS Remote Control Switch with Learning makes Compatible with all Wi-Fi IR Blaster to use with Alexa (Pro-With Timer...,0.005,0.95,0.01,0.005,0.03
Fortune (By Liberty) A13-03 Mens Dress & Formal Shoes TAN,0.05,0.15,0.1,0.2,0.5
HIGH Performance 4 Channel Single Output CCTV Power Supply SMPS for Four CCTV Camera System. (4 Channel),0.01,0.9,0.015,0.025,0.05
NIKACHU Women’s Trendy & Fashionable Flats Stylish Slipper for Women|Girls,0.75,0.05,0.05,0.05,0.1
Peluche Union Star Silver Lapel Pin s,0.15,0.25,0.1,0.05,0.45
THAMES URBAN Backpack Imported Fabric Specious Lightweight Water Resistant Casual Bag | Travel Backpack | School Bag (WC S...,0.05,0.1,0.05,0.2,0.6
Underjeans Men Trunk,0.85,0.05,0.02,0.03,0.05
Zitel Case for JBL Charge 4 Portable Bluetooth Speaker Silicone Protective Cover with Shoulder Strap and Carabiner (Case O...,0.005,0.95,0.005,0.01,0.03
RIVER by Narendra Kumar Premium Designer Women's Solid Casual Pants,0.1,0.05,0.025,0.025,0.8
Fossil Black Leather Women's Wallet (FSLRBW8671904),0.1,0.05,0.03,0.02,0.8
Wrangler Men's Slim Jeans (WMJN004981_Light Indigo,0,0.05,0.05,0.1,0.8
CP PLUS 2.4 MP 8 Indoor Camera CCTV Kit+Zebronics 18.5 inch Monitor,0,0.9,0,0,0.1
GoSriKi Women's Linen Saree,0.05,0.1,0.15,0.7,0
KOVONSH Analog Girl's Watch and Women's Watch (Multi Color Dial Multi-Colored Strap),0.1,0.7,0.03,0.02,0.15
MI Braided Type C 100cm Cable Black|Supports Upto 22.5 Fast Charging|Tangle Free Sturdy Built with Kevlar Protection|Suppo...,0.005,0.95,0.005,0.01,0.03
Zivom® Hip Hop Punk Abacus Spoon Peace Cross Bronze Vintage Leather Pendant Chain Boys Men Gift,0.1,0.7,0.05,0.05,0.1
7SEVEN® Compatible for TCL Tv Remote Original RC902V Model Bluetooth Voice Command Remote Control with Google Assistant Fe...,0.02,0.9,0.02,0.01,0.05
PC Jeweller The Nashota 18KT Yellow Gold and Diamond Pendant for Women,0.1,0.05,0.03,0.02,0.8
"Zilch Freedom Tango Natural Vit C & Amla Hair Growth & Hairfall Control Shampoo, 200ml",0.95,0.01,0.01,0.02,0.01
Shezon Women's Grey Color Heels (CH522-$P),0.05,0.02,0.01,0.02,0.9
CHITA Shoes,0.1,0.4,0.2,0.1,0.2
"Ambrane Mobile Holding Tabletop Stand, 180 Perfect View, Height Adjustment, Wide Compatibility, Multipurpose, Anti-Skid De...",0.02,0.9,0.02,0.01,0.05
"GUBB Bath Brush With Long Handle | Dual Sided Exfoliating Bath Brush For Cleanse, Exfoliate & Massage - Soft Nylon Bristle...",0.9,0,0,0,0.1
XYXX Men's Bamboo Cotton Relaxed Trunks (Pack of 2) (XYTRNK2PCKN319S_Medieval Blue + Ebony_S),0.1,0.05,0.05,0.8,0
AVSAR 18k (750) White Gold and Diamond Ring for Women,0.1,0.3,0.05,0.05,0.5
"Gizga Essentials Cable Organizer Clips Holder, Strong Self Adhesive Wire Management Clamps, Cord Routing Clips for Wall, H...",0.01,0.8,0.02,0.02,0.15
Parx Black Jeans,0.15,0.25,0.05,0.45,0.1
"USHA Mist Air Flo 400mm Wall Fan (Light Blue), Standard, (14102MAF4022)",0.01,0.08,0.005,0.005,0.9
Sparx Men's Sf0204s Slippers,0.02,0.1,0.05,0.03,0.8
"Elk Men's Woven Boxer Underwear Multipack of 3 with Button Fly, Pocket",0.05,0.1,0.03,0.02,0.8
Yellow Chimes Earrings for Women and Girls Traditional Silver Oxidised Jhumka Earrings Birthday Gift For girls and women A...,0.15,0.05,0.65,0.1,0.05
"Floret Women's Pep Up Full Coverage Non-Padded and Wire Free Bra (T-3033, Black, 34)",0.8,0.1,0.05,0.03,0.02
World Of PLAY PLAYGO N20 Bluetooth Wireless in Ear Earphones with Mic (Black),0.005,0.95,0.005,0.01,0.03
"Whisper Choice Sanitary Pads for Women, XL, 6 Napkins",0.95,0.01,0.01,0.02,0.01
"WAKEN LED Cordless Rechargeable Clip Touch Button ON-Off Dimmable, Multi, Plastic",0.03,0.85,0.01,0.01,0.1
Karatcart Traditional Gold Plated Pearl Beads Kundan Maang-Tikka for Women,0.1,0.2,0.1,0.3,0.3
Avsar Real Gold Sonal Earring AVE328YB,0.2,0.6,0.1,0.05,0.05
rangita Women Solid Embroidered Calf Length A Line Kurti with Sleeves Tabs,0.05,0.06,0.02,0.02,0.85
UJEAVETTE 2X Luggage Replacement Wheels Durable Repairment Black for Suitcase Trolley,0.03,0.05,0.02,0.1,0.8
DURGA ENTERPRISES Men's Vest Full Sleves Large,0.1,0.3,0.05,0.4,0.15
blackberrys Men's Formal Full Sleeve Slim Fit SHIRT-NL-LG-CHFE93,0,0.8,0,0,0.2
Women's Ankle Length Leggings Combo Pack of 2 | Free Size | Cotton Lycra Fabric,0.1,0.05,0.2,0.3,0.35
Nikita Women's Cotton Inskirt Saree Petticoats Combo (Pack Of 4),0.1,0.03,0.02,0.05,0.8
"ShopAmz 360° 1080P Full HD Security Camera, Human Detection, Motion Tracking, 2-Way Audio,",0.005,0.95,0.01,0.005,0.03
